Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0.00573333	0.0701904	17.0593	
0.00575	0.0723267	21.8658	
0.00576667	0.0762939	23.7885	
0.00578333	0.0747681	21.637	
0.0058	0.0717163	12.4817	
0.00581667	0.0628662	-2.18201	
0.00583333	0.0527954	-5.87463	
0.00585	0.0421143	5.9967	
0.00586667	0.0332642	19.7296	
0.00588333	0.0354004	28.0914	
0.0059	0.0436401	30.8533	
0.00591667	0.0585938	25.6042	
0.00593333	0.0738525	12.6648	
0.00595	0.0900269	0.350952	
0.00596667	0.110168	1.31226	
0.00598333	0.129395	7.1106	
0.006	0.142212	12.2528	
0.00601667	0.146179	17.7765	
0.00603333	0.143433	23.4985	
0.00605	0.134888	26.9012	
0.00606667	0.126038	25.9399	
0.00608333	0.119019	15.7013	
0.0061	0.107422	3.8147	
0.00611667	0.0897217	4.68445	
0.00613333	0.0717163	14.6332	
0.00615	0.055542	23.5748	
0.00616667	0.0405884	29.3732	
0.00618333	0.0350952	29.892	
0.0062	0.0442505	21.4539	
0.00621667	0.0662231	9.04846	
0.00623333	0.0872803	3.58582	
0.00625	0.105591	10.2081	
0.00626667	0.119934	16.9067	
0.00628333	0.12207	22.11	
0.0063	0.118103	27.5574	
0.00631667	0.118103	31.9672	
0.00633333	0.115662	32.2571	
0.00635	0.110168	25.1465	
0.00636667	0.10498	10.6201	
0.00638333	0.0964355	2.31934	
0.0064	0.0839233	10.8185	
0.00641667	0.0735474	24.7192	
0.00643333	0.0646973	32.5165	
0.00645	0.065918	36.6364	
0.00646667	0.0772095	35.1257	
0.00648333	0.0967407	24.1547	
0.0065	0.115662	11.3068	
0.00651667	0.1297	9.552	
0.00653333	0.136108	16.9678	
0.00655	0.138245	23.1323	
0.00656667	0.137634	28.5492	
0.00658333	0.143127	33.6914	
0.0066	0.14679	35.3546	
0.00661667	0.138855	33.4625	
0.00663333	0.121155	24.3683	
0.00665	0.101013	8.57544	
0.00666667	0.0784302	2.36511	
0.00668333	0.06073	10.4218	
0.0067	0.0436401	23.2086	
0.00671667	0.0292969	32.8522	
0.00673333	0.0265503	36.9873	
0.00675	0.0274658	31.7078	
0.00676667	0.0357056	18.8446	
0.00678333	0.0476074	9.68933	
0.0068	0.0598145	11.4746	
0.00681667	0.0704956	15.1367	
0.00683333	0.0817871	18.3716	
0.00685	0.0854492	21.8658	
0.00686667	0.0848389	25.3754	
0.00688333	0.0802612	27.3285	
0.0069	0.0720215	24.0479	
0.00691667	0.0637817	13.6414	
0.00693333	0.0543213	2.67029	
0.00695	0.0390625	3.90625	
0.00696667	0.0250244	15.564	
0.00698333	0.0216675	26.825	
0.007	0.0250244	33.493	
0.00701667	0.0372314	32.3029	
0.00703333	0.0515747	20.813	
0.00705	0.0650024	6.36292	
0.00706667	0.0790405	0.869751	
0.00708333	0.0939941	9.58252	
0.0071	0.108032	20.2026	
0.00711667	0.116577	27.8625	
